property,description,unit,GLOSIS observation class,GLOSIS observed property,GLOSIS observation result unit,Procedure,notes
,,,,,,,
HWSD2_SMU_ID,Unique identifier of the HWSD soil mapping unit,,id is part of URL of instance and appears in label,,,,
,,,,,,,
Layer observations,,,,,,,
TOPDEP,Upper depth,cm,,,,,
BOTDEP,Lowe depth,cm,,,,,
COARSE,A coarse fragment is any primary soil particle with a nominal diametre greater than 2 mm. The data are directly available from the WISE30sec database.,%v ,glosis_lh:CoarseFragments,physioChemicalPropertyCode-CoaFra,PERCENT,-,
SAND,"Sand comprises particles, or granules, ranging in diametre from 0.050 to 2 mm. An individual particle in this range size is termed a sand grain. Sand feels gritty when rubbed between the fingers (silt, by comparison, feels like flour). Sand is commonly divided into five sub-categories based on size: very fine sand (1/16–1/8 mm diametre), fine sand (1/8–1/4 mm), medium sand (1/4–1/2 mm), coarse sand (1/2–1 mm), and very coarse sand (1–2 mm). The data are directly available from the WISE30sec database.",%w,glosis_lh:ClayFractionTexture,physioChemicalPropertyCode-Textclay,GM per hectoGM,-,gm/hg = %
SILT,"Silt is produced by the mechanical weathering of rock, as opposed to the chemical weathering that results in clays. This mechanical weathering can be due to grinding by glaciers, eolian abrasion (sandblasting by the wind) as well as water erosion of rocks on the beds of rivers and streams. Silt is sometimes known as “rock flour” or “stone dust”, especially when produced by glacial action. Mineralogically, silt is composed mainly of quartz and feldspar. Silt size is between 0.002 and 0.050 mm (USDA classification). The data are directly available from the WISE30sec database.",%w ,glosis_lh:SiltFractionTexture ,physioChemicalPropertyCode-Textsilt,GM per hectoGM,-,gm/hg = %
CLAY,"Clay is naturally occurring firm earthy material, composed primarily of fine-grained (diametre less than 0.002 mm) that is plastic when wet and hardens when heated and that consists primarily of hydrated silicates or aluminum. Clay is mostly composed of clay minerals which are phyllo-silicate minerals and minerals which impart plasticity and harden when fired or dried. The definition of ""fine grained"" used above is particles smaller than 2 _m, colloid chemists (and Eastern European soil scientists) may use 1 _m. In the database no difference is made between the two, but reported figures are used, whatever the source; these values are also used to determine the “USDA texture class” as given below. The data are directly available from the WISE30sec database.",%w ,glosis_lh:SandFractionTexture,physioChemicalPropertyCode-Textsand,GM per hectoGM,-,gm/hg = %
BULK,Bulk density is defined as “the mass of the many particles of the material divided by the total volume they occupy”. Data are directly available in the WISE30sec database.,g/cm3,glosis_lh:BulkDensityWholeSoil,physioChemicalValueCode-BulDwhole,GM-PER-CentiM3,-,
REF_BULK,Reference bulk density is a property of particulate materials. It is the mass of many particles of the material divided by the volume they occupy. The volume includes the space between the particles as well as the space in the pores of individual particles.,g/cm3,glosis_lh:BulkDensityWholeSoil,physioChemicalValueCode-BulDwhole,GM-PER-CentiM3,-,
ORG_CARBON,"Organic Carbon is together with pH, the best simple indicator of the health status of the soil. Moderate to high amounts of organic carbon are associated with fertile soils with a good structure. Data are directly derived from WISE30sec.",%w,glosis_lh:CarbonOrganic,physioChemicalValueCode-Carorg,GM per hectoGM,-,
PH_WATER,"This field gives the soil reaction. The pH, measured in a soil-water solution, is a measure for the acidity and alkalinity of the soil. Data are directly derived from WISE30sec.",,glosis_lh:PH,physioChemicalPropertyCode-pH (or pHProperty),PH,pHH2O,procedure H2O
TOTAL_N,Soil total nitrogen is a major determinant and indicator of soil fertility and quality in an agricultural ecosystem. Data are directly derived from WISE30sec,g/kg,glosis_lh:NitrogenTotal,physioChemicalPropertyCode-Nittot,GM per KiloGM,-,
CEC_SOIL,"of the fine earth fraction (cmolc/kg). The total nutrient fixing capacity of a soil is well expressed by its Cation Exchange Capacity. Soils with low CEC have little resilience and cannot build up stores of nutrients. Many sandy soils have CEC less than 4 cmolc/kg. The clay content, the clay type and the organic matter content all determine the total nutrient storage capacity. Values more than 10 cmolc/kg are considered satisfactory for most crops. Data are derived directly from the WISE30sec database.",cmolc/kg,glosis_lh:CationExchangeCapacitycSoil,physioChemicalValueCode-CEC,CentiMOL-PER-KiloGM,-,
CEC_CLAY,"corrected for contribution of organic matter (cmolc/kg). This field gives the cation exchange capacity of the clay fraction corrected for the organic matter content in the layer concerned. The type of clay mineral dominantly present in the soil often characterizes a specific set of pedogenetic factors in which the soil has developed. Tropical, leaching climates produce the clay mineral kaolinite, while confined conditions rich in Ca and Mg in climates with a pronounced dry season encourage the formation of the clay mineral smectite (montmorillonite). CECclay is calculated from CECsoil by assuming a mean contribution of 350 cmolc/kg OC, the common range being from 150 to over 750 cmolc/kg (Klamt and Sombroek, 1988). Data are directly derived from the WISE30sec database.",cmolc/kg,glosis_lh:CationExchangeCapacity,physioChemicalValueCode-CEC,CentiMOL-PER-KiloGM,-,
CEC_EFF,"ECEC is defined as the sum of exchangeable (Ca++, Mg++, K+, Na+) plus the sum of exchangeable (H+, Al+++) (Van Reeuwijk, 2002). Data are derived directly from the WISE30sec database.",cmolc/kg,glosis_lh:CationExchangeCapacityEffective,physioChemicalValueCode-ECEC,CentiMOL-PER-KiloGM,-,
BSAT,"The base saturation measures the sum of exchangeable cations (nutrients) Na+, Ca++, Mg++ and K+ as a percentage of the overall exchange capacity of the soil (including the same cations plus H+ and Al+++). The value often shows a near linear correlation with pH. Data are derived directly from the WISE30sec database. ( % of CECsoil)",% ,glosis_lh:BaseSaturation,physioChemicalValueCode-Bassum,PERCENT,-,
ALUM_SAT,The exchangeable aluminum percentage (ALSA) has been set at zero when pHwater is higher than 5.5. Data are derived directly from the WISE30sec database. (% of ECEC),% ,glosis_lh:AluminiumExchangeableBases,physioChemicalValueCode-Alusat,PERCENT,-,
