property,description,unit,GLOSIS observation class,GLOSIS observed property,GLOSIS observation result unit,Procedure,notes
,,,,,,,
POINTID,Unique identifier of the LUCAS survey point,8 digits number,id is part of URL of instance and appears in label,,,,
,,,,,,,
Layer observations,,,,,,,
pH(CaCl2),pH measured in a CaCl2 solution,─,glosis_lh:PH,physioChemicalPropertyCode-pH (or pHProperty),PH,pHCaCl2,procedure CaCL2
pH(H2O),pH measured in a suspension of soil in water,─,glosis_lh:PH,physioChemicalPropertyCode-pH (or pHProperty),PH,pHH2O,procedure H2O
EC,"Electrical conductivity, Metal electrodes in aqueous extract of soil	",mS/m,glosis_lh:ElectricalConductivity,physioChemicalValueCode-Eleccond,DeciS-PER-M,,CONFLICT: mS is mili-Siemens. Divide by 100 to get dS/m.
OC,"Organic carbon content, Dry combustion (elementary analysis)	",g/kg,glosis_lh:CarbonOrganic,physioChemicalValueCode-Carorg,GM per KiloGM,OrgC_dc,
CaCO3,"Carbonates content, Volumetric Method	",g/kg,glosis_lh:TotalCarbonateEquivalent,physioChemicalValueCode-Calfra,GM per KiloGM,CaCO3_ca01,We didn’t use glosis_lh:CarbonatesContent as it has in ontology a result value codelist instead of g/kg
P,"Phosphorus content, Spectrometric determination of P soluble in sodium hydrogen CaCO3 solution	",mg/kg,glosis_lh:PhosphorusTotalElements,physioChemicalValueCode-Photot,%,,Units now the same in GloSIS
N,"Total nitrogen content, Modified Kjeldahl method	",g/kg,glosis_lh:NitrogenTotal,physioChemicalValueCode-Nittot,GM per KiloGM,TotalN_kjeldahl,
K,"Extractable potassium content,",mg/kg,glosis_lh:PotassiumExtractableElements,physioChemicalValueCode-Potext,PERCENT,,Extractable elements in GloSIS currently expressed in percentages. Divide mg/kg by 10 000 to obtain %.
Depth,Top and bottom depth with unit,cm,"iso28258:ProfileElement.lowerDepth, iso28258:ProfileElement.upperDepth within glosis_lh:GL_Layer",,,,
Ox_Al,Acid ammoium oxalate method,,,physioChemicalValueCode-Aluoxa,GM per KiloGM,,
Ox_Fe,Acid ammoium oxalate method,,,physioChemicalValueCode-Irooxa,GM per KiloGM,,
,,,,,,,
,,,,,,,
Site properties,,,,,,,
LC,LandCover class,,cap-parcel:landCover,,,,
LU,LandUse class,,glosis_sp:LandUseClass,,,,
LC0_Desc,LandCover class description,,,,,,
LC1_Desc,LandCover class description,,,,,,
LU1_Desc,LandUse class description,,value in LUCAS LU codelist,,,,
NUTS_0,NUTS code for the country where the sample was taken,,gn:parentCountry (property),,,,
NUTS_1,NUTS 1 codes for the location where the sample was taken,,gn:parentADM1 (property),,,,
NUTS_2,NUTS 2 codes for the location where the sample was taken,,gn:parentADM2 (property),,,,
NUTS_3,NUTS 3 codes for the location where the sample was taken,,gn:parentADM3 (property),,,,
Elev,altitude in m,m,glosis_sp:altitude,,,,
,,,,,,,
Other in CSV,,,,,,,
SURVEY_DATE,,,,,,,
Elev,,,,,,,
OC (20-30 cm),,,,,,,
CaCO3 (20-30 cm),,,,,,,
Ox_Al,,,,,,,
Ox_Fe,,,,,,,
